RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1990.047P,1271 48th Ave,Costal Zone Permit (CTZ),4/11/1991,CPC:  APPR W/C:  13055,4/11/1991,Approved,13055,Approved
1990.048V,572 Eureka St,Variance (VAR),9/14/1990,DCP:  APPR W/C,9/14/1990,Approved,,Approved
1990.053V,37-39 Coso Ave,Variance (VAR),1/28/1992,DCP:  APPR W/C,1/28/1992,Approved,,Approved
1990.054A,807 Montgomery St,Certificate of Appropriateness (COA),4/18/1990,CPC:  APPR,4/18/1990,Approved,,Approved
1990.056V,33 Meda Ave,Variance (VAR),11/5/1990,DCP:  DISAPPR,11/5/1990,Disapproved,,Disapproved
1990.057D,1859 Geary Bl,Discretionary Review - Mandatory (DRM),3/8/1990,CPC:  APPR:  11888,3/8/1990,Approved,11888,Approved
1990.064C,1251 3rd Ave,Conditional Use Authorization (CUA),4/19/1990,CPC:  APPR W/C:  11923,4/19/1990,Approved,11923,Approved
1990.066X,101 Howard St,Downtown Exception-309 (DNX),4/26/1990,CPC:  APPR W/C:  11928,4/26/1990,Approved,11928,Approved
1990.068P,4624 Irving St,Costal Zone Permit (CTZ),7/19/1990,CPC:  APPR W/C:  11981,7/19/1990,Approved,11981,Approved
1990.070C,719 Taraval St,Conditional Use Authorization (CUA),4/12/1990,CPC:  APPR W/C:  11914,4/12/1990,Approved,11914,Approved
1990.073V,850 Bryant St,Variance (VAR),3/22/1991,DCP:  APPR W/C,3/22/1991,Approved,,Approved
1990.074D,101 Bosworth St,Discretionary Review - Mandatory (DRM),5/17/1990,CPC:  APPR W/C:  11945,5/17/1990,Approved,11945,Approved
1990.079C,300 Ulloa St,Conditional Use Authorization (CUA),5/23/1991,CPC:  APPR W/C:  13085,5/23/1991,Approved,13085,Approved
1990.080C,446 Valencia St,Conditional Use Authorization (CUA),4/12/1990,CPC:  APPR W/C:  11915,4/12/1990,Approved,11915,Approved
1990.080V,446 Valencia St,Variance (VAR),9/19/1990,DCP:  APPR W/C,9/19/1990,Approved,,Approved
1990.081C,300 Beale St,Conditional Use Authorization (CUA),7/18/1991,CPC:  APPR W/C:  13129,7/18/1991,Approved,13129,Approved
1990.082B,299 2nd St,Office Allocation-321 (OFA),6/6/1991,CPC:  APPR MODIFIED M11956W/C,6/6/1991,Approved,,Approved
1990.082B,299 2nd St,Office Allocation-321 (OFA),6/6/1991,CPC:  APPR MODIFIED M11956 W/C,6/6/1991,Approved,,Approved
1990.082B_2,299 2nd St,Office Allocation-321 (OFA),6/7/1990,CPC:  APPR W/C AS MODIFIED:  11956,6/7/1990,Approved,,Approved
1990.082C,299 2nd St,Conditional Use Authorization (CUA),6/6/1991,CPC:  APPR MODIFIED M11955W/C,6/6/1991,Approved,,Approved
1990.082C_2,299 2nd St,Conditional Use Authorization (CUA),6/7/1990,CPC:  APPR AS MODIFIED:  11955,6/7/1990,Approved,11955,Approved
1990.082X,299 2nd St,Downtown Exception-309 (DNX),6/7/1990,CPC:  APPR W/C AS MODIFIED:  11954,6/7/1990,Approved,,Approved
1990.083C,1430 17th Ave,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11990,7/26/1990,Approved,11990,Approved
1990.091C,414 Turk St,Conditional Use Authorization (CUA),6/28/1990,CPC:  APPR W/C:  11971,6/28/1990,Approved,11971,Approved
1990.093C,863 27th Ave,Conditional Use Authorization (CUA),6/20/1991,CPC:  APPR W/C:  13110,6/20/1991,Approved,13110,Approved
1990.094V,"513, 517+ Hickory St",Variance (VAR),11/8/1990,DCP:  APPR W/C,11/8/1990,Approved,,Approved
1990.097D,842 Peru Ave,Discretionary Review - Mandatory (DRM),6/25/1990,CPC:  APPR W/CHANGES:  11969,6/25/1990,Approved,11969,Approved
1990.100V,250 De Haro St,Variance (VAR),10/6/1990,DCP:  APPR W/C,10/6/1990,Approved,,Approved
1990.102A,220 Montgomery St,Certificate of Appropriateness (COA),3/7/1990,CPC:  LPAB APPR,3/7/1990,Approved,,Approved
1990.109C,78-82 Natoma St,Conditional Use Authorization (CUA),2/25/1993,CPC:  APPR W/C:  13469,2/25/1993,Approved,13469,Approved
1990.109X,78-82 Natoma St,Downtown Exception-309 (DNX),2/25/1993,CPC:  APPR W/C AS MODIFIED:  13470,2/25/1993,Approved,,Approved
1990.112V,136 Brentwood Ave,Variance (VAR),10/11/1990,DCP:  APPR,10/11/1990,Approved,,Approved
1990.113C,1298 Ocean Ave,Conditional Use Authorization (CUA),9/20/1990,CPC:  APPR W/C:  12025,9/20/1990,Approved,12025,Approved
1990.117C,939-45 Clement St,Conditional Use Authorization (CUA),4/26/1990,CPC:  APPR W/C:  11927,4/26/1990,Approved,11927,Approved
1990.118C,1799 19th Ave,Conditional Use Authorization (CUA),7/26/1990,CPC:  DISAPPR:  11994,7/26/1990,Disapproved,11994,Disapproved
1990.120C,397 5th Ave,Conditional Use Authorization (CUA),7/11/1991,CPC:  DISAPPR,7/11/1991,Disapproved,,Disapproved
1990.121C,2128 Market St,Conditional Use Authorization (CUA),6/14/1990,CPC:  APPR W/C:  11962,6/14/1990,Approved,11962,Approved
1990.122V,1809 San Jose Ave,Variance (VAR),12/4/1990,DCP:  DISAPPR,12/4/1990,Disapproved,,Disapproved
1990.124C,600 Clipper St,Conditional Use Authorization (CUA),6/19/1992,"DCP:  W/D, DUE TO INACTIVITY",6/19/1992,Withdawn,,Withdawn
1990.125V,72 Rondel Pl,Variance (VAR),10/12/1990,DCP:  APPR,10/12/1990,Approved,,Approved
1990.129D,62 Madrone Ave,Discretionary Review - Mandatory (DRM),7/23/1990,CPC:  APPR W/C:  11986,7/23/1990,Approved,11986,Approved
1990.150C,31-65 Howth St,Conditional Use Authorization (CUA),9/17/1992,CPC:  APPROVED W/COND.:  13407,9/17/1992,Approved,13407,Approved
1990.150V,31-65 Howth St,Variance (VAR),3/15/1993,DCP:  APPR W/C,3/15/1993,Approved,,Approved
1990.151V,3787-89 26th St,Variance (VAR),7/22/1991,DCP:  APPR W/C,7/22/1991,Approved,,Approved
1990.169C,371 Hayes St,Conditional Use Authorization (CUA),5/31/1990,CPC:  APPR W/C:  11950,5/31/1990,Approved,11950,Approved
1990.177V,856 Wisconsin St,Variance (VAR),11/8/1990,DCP:  DISAPPR,11/8/1990,Disapproved,,Disapproved
1990.179D,1108-10 Balboa St,Discretionary Review - Mandatory (DRM),8/16/1990,CPC:  APPR W/C:  11998,8/16/1990,Approved,11998,Approved
1990.181A,40 Hotaling Pl,Certificate of Appropriateness (COA),3/21/1990,CPC:  APPR W/C,3/21/1990,Approved,,Approved
1990.182A,470-92 Pacific Ave,Certificate of Appropriateness (COA),3/21/1990,CPC:  DISAPPR,3/21/1990,Disapproved,,Disapproved
1990.185D,1151 Folsom St,Discretionary Review - Mandatory (DRM),4/12/1990,CPC:  APPR W/C:  11916,4/12/1990,Approved,11916,Approved
1990.186D,132 Persia Ave,Discretionary Review - Mandatory (DRM),6/11/1990,CPC:  APPR W/C:  11957,6/11/1990,Approved,11957,Approved
1990.187D,180-82 Graystone Tr,Discretionary Review - Mandatory (DRM),11/29/1990,CPC:  APPR W/C:  12083,11/29/1990,Approved,12083,Approved
1990.191V,2616A Sutter St,Variance (VAR),1/30/1991,DCP:  APPR,1/30/1991,Approved,,Approved
1990.193V,347 Clipper St,Variance (VAR),7/15/1991,DCP:  APPR,7/15/1991,Approved,,Approved
1990.195C,2495 California St,Conditional Use Authorization (CUA),7/5/1990,CPC:  APPR W/C:  11974,7/5/1990,Approved,11974,Approved
1990.195V,2495 California St,Variance (VAR),10/16/1990,DCP:  APPR,10/16/1990,Approved,,Approved
1990.197V,1475-77 Folsom St,Variance (VAR),12/6/1990,DCP:  APPR W/C,12/6/1990,Approved,,Approved
1990.198V,17 25th Ave (North),Variance (VAR),2/1/1991,DCP:  APPR W/C,2/1/1991,Approved,,Approved
1990.199C,2800 California St,Conditional Use Authorization (CUA),5/31/1990,CPC:  APPR W/C:  11949,5/31/1990,Approved,11949,Approved
1990.205C,4125-27 Kirkham St,Conditional Use Authorization (CUA),11/15/1990,CPC:  APPR W/C:  12072,11/15/1990,Approved,12072,Approved
1990.207C,900 Block Peralta Ave,Conditional Use Authorization (CUA),11/7/1991,CPC:  APPR W/C:  13194,11/7/1991,Approved,13194,Approved
1990.207V,900 Block Peralta Ave,Variance (VAR),4/3/1992,DCP:  APPR W/C,4/3/1992,Approved,,Approved
1990.208C,1848 Pine St,Conditional Use Authorization (CUA),11/8/1990,CPC:  APPR W/C:  12067,11/8/1990,Approved,12067,Approved
1990.217V,3624 Scott St,Variance (VAR),8/23/1990,DCP:  APPR,8/23/1990,Approved,,Approved
1990.219V,530 29th Ave,Variance (VAR),11/8/1990,DCP:  APPR,11/8/1990,Approved,,Approved
1990.221C,2500 3rd St,Conditional Use Authorization (CUA),6/28/1990,CPC:  APPR W/C:  11972,6/28/1990,Approved,11972,Approved
1990.223C,2140 Clement St,Conditional Use Authorization (CUA),7/19/1990,CPC:  DISAPPR:  11984,7/19/1990,Disapproved,11984,Disapproved
1990.224V,1225 Page St,Variance (VAR),10/29/1990,DCP:  APPR W/C,10/29/1990,Approved,,Approved
1990.225X,55 5th St,Downtown Exception-309 (DNX),3/14/1991,CPC:  APPR W/C:  13037,3/14/1991,Approved,13037,Approved
1990.228V,25-31 Priest St,Variance (VAR),6/8/1990,DCP:  APPR,6/8/1990,Approved,,Approved
1990.229V,15 Parnassus Ave,Variance (VAR),1/15/1991,DCP:  DISAPPR,1/15/1991,Disapproved,,Disapproved
1990.232V,150 Franklin St,Variance (VAR),1/22/1991,DCP:  APPR W/C,1/22/1991,Approved,,Approved
1990.236V,175 Andover St,Variance (VAR),12/4/1990,DCP:  APPR,12/4/1990,Approved,,Approved
1990.237V,269 Hickory St,Variance (VAR),12/4/1990,DCP:  APPR W/C,12/4/1990,Approved,,Approved
1990.238B,350 Pacific Ave,Office Allocation-321 (OFA),6/27/1991,CPC:  APPR W/C:  13114,6/27/1991,Approved,13114,Approved
1990.239X,421 Powell St+,Downtown Exception-309 (DNX),9/3/1992,CPC:  APPR W/C:  13403,9/3/1992,Approved,13403,Approved
1990.239X_2,421 Powell St+,Downtown Exception-309 (DNX),9/3/1992,CPC:  APPROVED,9/3/1992,Approved,,Approved
1990.240V,417 Lyon St,Variance (VAR),4/2/1991,DCP:  DISAPPR,4/2/1991,Disapproved,,Disapproved
1990.241C,3184 Mission St,Conditional Use Authorization (CUA),8/9/1990,CPC:  APPR W/C:  11996,8/9/1990,Approved,11996,Approved
1990.243D,53 La Grande Ave,Discretionary Review - Mandatory (DRM),7/23/1990,CPC:  DR APPR W/C,7/23/1990,Approved,,Approved
1990.270C,1326 Grant Ave,Conditional Use Authorization (CUA),9/20/1990,CPC:  DISAPPR:  12026,9/20/1990,Disapproved,12026,Disapproved
1990.292A,224 Filbert St,Certificate of Appropriateness (COA),6/20/1990,CPC:  LPAB DISAPPR,6/20/1990,Disapproved,,Disapproved
1990.293C,1821 Haight St,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11989,7/26/1990,Approved,11989,Approved
1990.295V,3800 Clay St,Variance (VAR),12/27/1990,DCP:  APPR W/C,12/27/1990,Approved,,Approved
1990.296V,20 Harris Pl,Variance (VAR),1/22/1991,DCP:  APPR,1/22/1991,Approved,,Approved
1990.297C,1899 Bush St,Conditional Use Authorization (CUA),8/16/1990,CPC:  APPR W/C:  12001,8/16/1990,Approved,12001,Approved
1990.299C,150 Executive Park Bl/Harney Way,Conditional Use Authorization (CUA),4/6/2000,CPC:  Approved:  15017,4/6/2000,Approved,15017,Approved
1990.308C,2251 Alemany Bl,Conditional Use Authorization (CUA),4/9/1992,CPC:  APPR W/C (AS MODIFIED):  13335,4/9/1992,Approved,,Approved
1990.309C,3575 Sacramento St,Conditional Use Authorization (CUA),6/20/1990,CPC:  W/D,6/20/1990,Withdawn,,Withdawn
1990.310C,2239-41 Lombard St,Conditional Use Authorization (CUA),7/11/1991,CPC:  DISAPPR:  13126,7/11/1991,Disapproved,13126,Disapproved
1990.311V,2183 35th Ave,Variance (VAR),11/19/1990,DCP:  DISAPPR,11/19/1990,Disapproved,,Disapproved
1990.312C,900 Van Ness Ave,Conditional Use Authorization (CUA),6/13/1991,CPC:  APPR W/C:  13103,6/13/1991,Approved,13103,Approved
1990.312V,900 Van Ness Ave,Variance (VAR),1/24/1991,DCP:  PROJECT TO COMPLY WITH REAR YD,1/24/1991,Withdawn,,Withdawn
1990.315V,2256-58 Pine St,Variance (VAR),12/4/1991,DCP:  APPR,12/4/1991,Approved,,Approved
1990.316V,247 Upper Tr,Variance (VAR),8/27/1991,DCP:  W/D,8/27/1991,Withdawn,,Withdawn
1990.318V,1234 30th Ave,Variance (VAR),4/15/1990,DCP:  APPR W/C,4/15/1990,Approved,,Approved
1990.322V,50 19th Ave,Variance (VAR),1/23/1991,DCP:  APPR,1/23/1991,Approved,,Approved
1990.328V,600 DeHaro St,Variance (VAR),1/22/1991,DCP:  APPR W/C,1/22/1991,Approved,,Approved
1990.330A,553 Pacific Ave,Certificate of Appropriateness (COA),8/7/1990,CPC:  LPAB APPR,8/7/1990,Approved,,Approved
1990.335V,920-24 Haight St,Variance (VAR),9/21/1990,DCP:  APPR W/C,9/21/1990,Approved,,Approved
1990.337A,1443-45 McAllister St,Certificate of Appropriateness (COA),1/16/1991,CPC:  APPR,1/16/1991,Approved,,Approved
1990.337V,1443-45 McAllister St,Variance (VAR),6/18/1991,DCP:  APPR W/C,6/18/1991,Approved,,Approved
1990.338P,4233 Judah St,Costal Zone Permit (CTZ),10/25/1990,CPC:  APPR W/C:  12058,10/25/1990,Approved,12058,Approved
1990.342V,440 Brazil Ave,Variance (VAR),12/4/1990,DCP:  APPR W/C,12/4/1990,Approved,,Approved
1990.343V,1364 Filbert St,Variance (VAR),11/19/1990,DCP:  APPR W/C,11/19/1990,Approved,,Approved
1990.344C,655 Clay St,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11991,7/26/1990,Approved,11991,Approved
1990.346D,2323 26th Ave,Discretionary Review - Mandatory (DRM),10/18/1990,CPC:  APPR W/C:  12053,10/18/1990,Approved,12053,Approved
1990.349D,137 Newman St,Discretionary Review - Mandatory (DRM),5/23/1991,CPC:  APPR W/C:  13084,5/23/1991,Approved,13084,Approved
1990.362C,302 Silver Ave,Conditional Use Authorization (CUA),8/15/1991,CPC:  APPR W/C:  13151,8/15/1991,Approved,13151,Approved
1990.364C,3401 Irving St,Conditional Use Authorization (CUA),10/24/1990,CPC:  W/D,10/24/1990,Withdawn,,Withdawn
1990.365C,1200 Arguello Bl,Conditional Use Authorization (CUA),2/28/1991,CPC:  APPR W/C:  13027,2/28/1991,Approved,13027,Approved
1990.366A,700-68 7th St,Certificate of Appropriateness (COA),1/15/1992,DCP:  Withdrawn,1/15/1992,Withdawn,,Withdawn
1990.366C,700-68 7th St,Conditional Use Authorization (CUA),1/15/1992,DCP:  Withdrawn,1/15/1992,Withdawn,,Withdawn
1990.378V,2237 Mason St,Variance (VAR),3/5/1997,DCP:  APPR W/C,3/5/1997,Approved,,Approved
1990.381C,2800 California St#101,Conditional Use Authorization (CUA),8/30/1990,CPC:  APPR W/C:  12012,8/30/1990,Approved,12012,Approved
1990.382C,4015 24th St,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11992,7/26/1990,Approved,11992,Approved
1990.384C_2,1500 Church St,Conditional Use Authorization (CUA),8/23/1990,CPC:  APPR W/C:  12005,8/23/1990,Approved,12005,Approved
1990.385C,780 Valencia St,Conditional Use Authorization (CUA),9/20/1990,CPC:  APPR W/C:  12027,9/20/1990,Approved,12027,Approved
1990.387A,619 Market St,Certificate of Appropriateness (COA),7/18/1990,CPC:  LPAB APPR,7/18/1990,Approved,,Approved
1990.388C,7002 Geary Bl,Conditional Use Authorization (CUA),4/2/1992,CPC:  APPR W/C:  13329,4/2/1992,Approved,13329,Approved
1990.405C,3400-02 16th St,Conditional Use Authorization (CUA),1/31/1991,CPC:  APPR W/C:  13004,1/31/1991,Approved,13004,Approved
1990.407C,3330 Army St (Cesar Chavez),Conditional Use Authorization (CUA),12/19/1991,CPC:  APPR W/C:  13228,12/19/1991,Approved,13228,Approved
1990.407C_2,3330 Army St (Cesar Chavez),Conditional Use Authorization (CUA),11/29/1990,CPC:  APPR W/C:  12078,11/29/1990,Approved,12078,Approved
1990.407V,3330 Army St (Cesar Chavez),Variance (VAR),1/31/1991,DCP:  APPR W/C,1/31/1991,Approved,,Approved
1990.409V,87 Farnsworth Ln,Variance (VAR),1/11/1991,DCP:  APPR,1/11/1991,Approved,,Approved
1990.410A,8 Fair Oaks St,Certificate of Appropriateness (COA),7/18/1990,CPC:  LPAB APPR,7/18/1990,Approved,,Approved
1990.418C,2332 Taraval St,Conditional Use Authorization (CUA),10/4/1990,CPC:  APPR W/C:  12051,10/4/1990,Approved,12051,Approved
1990.419D,5301 California St,Discretionary Review - Mandatory (DRM),1/16/1992,CPC:  APPR W/C:  13250,1/16/1992,Approved,13250,Approved
1990.420V,2109-19 14th Ave,Variance (VAR),2/13/1991,DCP:  APPR,2/13/1991,Approved,,Approved
1990.421V,37 Adair St,Variance (VAR),8/3/1990,DCP:  APPR,8/3/1990,Approved,,Approved
1990.438V,135-37 Scott St.,Variance (VAR),1/23/1991,DCP:  APPR,1/23/1991,Approved,,Approved
1990.439V,1141 Vallejo St,Variance (VAR),10/16/2014,DCP:  APPR,10/16/2014,Approved,,Approved
1990.440C,2291 Pine St+,Conditional Use Authorization (CUA),10/4/1990,CPC:  DISAPPR:  12049,10/4/1990,Disapproved,12049,Disapproved
1990.441C,4021-23 24th St,Conditional Use Authorization (CUA),10/4/1990,CPC:  APPR:  12050,10/4/1990,Approved,12050,Approved
1990.442C,701 Minnisota St,Conditional Use Authorization (CUA),8/22/1991,CPC:  APPR W/C:  13155,8/22/1991,Approved,13155,Approved
1990.443P,801-13 47th Ave,Costal Zone Permit (CTZ),4/18/1991,CPC:  APPR W/C:  13061,4/18/1991,Approved,13061,Approved
1990.444P,1366 48th Ave,Costal Zone Permit (CTZ),11/29/1990,CPC:  APPR W/C:  12085,11/29/1990,Approved,12085,Approved
1990.445P,1362 48th Ave,Costal Zone Permit (CTZ),11/29/1990,CPC:  APPR W/C:  12084,11/29/1990,Approved,12084,Approved
1990.446V,3760 Washington St,Variance (VAR),1/23/1991,DCP:  APPR,1/23/1991,Approved,,Approved
1990.447C,2026 19th Ave,Conditional Use Authorization (CUA),3/28/1991,CPC:  APPR W/C:  13048,3/28/1991,Approved,13048,Approved
1990.447V,2026 19th Ave,Variance (VAR),1/3/1995,DCP:  APP ACCEPTED IN ERROR,1/3/1995,Approved,,Approved
1990.455V,2750 San Bruno Ave,Variance (VAR),9/7/1990,DCP:  W/D,9/7/1990,Withdawn,,Withdawn
1990.458C,1045 Polk St,Conditional Use Authorization (CUA),9/20/1990,CPC:  APPR W/C:  12031,9/20/1990,Approved,12031,Approved
1990.463C,2507 Pine St,Conditional Use Authorization (CUA),10/4/1990,CPC:  APPR:  12052,10/4/1990,Approved,12052,Approved
1990.465C,3129 Geary Blvd,Conditional Use Authorization (CUA),9/20/1990,CPC:  DISAPPR:  12030,9/20/1990,Disapproved,12030,Disapproved
1990.466A,42 Columbus Ave,Certificate of Appropriateness (COA),9/5/1990,CPC:  APPR,9/5/1990,Approved,,Approved
1990.467V,159 Corbett St,Variance (VAR),12/21/1992,DCP:  DISAPPR,12/21/1992,Disapproved,,Disapproved
1990.469V,2380 Bay St,Variance (VAR),1/22/1991,DCP:  APPR,1/22/1991,Approved,,Approved
1990.470A,400 Van Ness Ave,Certificate of Appropriateness (COA),8/1/1990,CPC:  LPAB APPR,8/1/1990,Approved,,Approved
1990.489V,508 Scott St,Variance (VAR),9/9/1991,DCP:  DISAPPR,9/9/1991,Disapproved,,Disapproved
1990.492C,1863 Mission St,Conditional Use Authorization (CUA),9/16/1993,DCP:  CANCELLED,9/16/1993,Cancelled,,Cancelled
1990.492V,1863 Mission St,Variance (VAR),9/16/1993,DCP:  CANCELLED,9/16/1993,Cancelled,,Cancelled
1990.493C,1201 Polk St,Conditional Use Authorization (CUA),11/1/1990,CPC:  APPR W/C:  12059,11/1/1990,Approved,12059,Approved
1990.495V,14 Allen St,Variance (VAR),2/25/1991,DCP:  APPR W/C,2/25/1991,Approved,,Approved
1990.502V,186 Idora Ave,Variance (VAR),2/25/1991,DCP:  APPR W/C,2/25/1991,Approved,,Approved
1990.505V,910 So. Van Ness Ave,Variance (VAR),2/15/1991,DCP:  APPR W/C,2/15/1991,Approved,,Approved
1990.507V,"25,27+29 Henry St",Variance (VAR),7/26/1991,DCP:  APPR,7/26/1991,Approved,,Approved
1990.509V,2530 Taraval St,Variance (VAR),12/6/1990,DCP:  APPR,12/6/1990,Approved,,Approved
1990.512A,400 California St,Certificate of Appropriateness (COA),8/15/1990,CPC:  LPAB APPR,8/15/1990,Approved,,Approved
1990.513C,999 Brotherhood Way,Conditional Use Authorization (CUA),12/12/1991,CPC:  APPR W/C:  13221,12/12/1991,Approved,13221,Approved
1990.518C,1645 Pacific Ave,Conditional Use Authorization (CUA),1/3/1991,CPC:  CU FILED IN ERROR/ WITHDRAWN,1/3/1991,Withdawn,,Withdawn
1990.518V,1645 Pacific Ave,Variance (VAR),12/6/1990,DCP:  Withdrawn,12/6/1990,Withdawn,,Withdawn
1990.520V,2741 Diamond St,Variance (VAR),2/2/1991,DCP:  APPR,2/2/1991,Approved,,Approved
1990.523V,63 Homestead St,Variance (VAR),5/15/1991,DCP:  APPR,5/15/1991,Approved,,Approved
1990.534V,1359 Silver Ave,Variance (VAR),8/13/1991,DCP:  APPR W/C,8/13/1991,Approved,,Approved
1990.536A,559 2nd St,Certificate of Appropriateness (COA),9/5/1990,CPC:  APPR,9/5/1990,Approved,,Approved
1990.537A,755 Sansome St,Certificate of Appropriateness (COA),9/5/1990,CPC:  APPR,9/5/1990,Approved,,Approved
1990.538V,374-76 Moultrie St,Variance (VAR),1/15/1991,DCP:  APPR W/C,1/15/1991,Approved,,Approved
1990.541C,1430 Mason St,Conditional Use Authorization (CUA),5/2/1991,CPC:  APPR W/C:  13073,5/2/1991,Approved,13073,Approved
1990.541V,1430 Mason St,Variance (VAR),7/2/1991,DCP:  APPR,7/2/1991,Approved,,Approved
1990.542V,712 Junipero Serra Bl,Variance (VAR),8/26/1991,DCP:  APPR W/C,8/26/1991,Approved,,Approved
1990.544C,101 Valencia St,Conditional Use Authorization (CUA),4/30/1992,CPC:  APPR W/C:  13345,4/30/1992,Approved,13345,Approved
1990.545V,46 Lippard Ave,Variance (VAR),2/15/1991,DCP:  APPR,2/15/1991,Approved,,Approved
1990.546V,109 Berry St,Variance (VAR),3/13/1990,DCP:  APPR W/C,3/13/1990,Approved,,Approved
1990.547A,898 Fell St,Certificate of Appropriateness (COA),9/5/1990,CPC:  APPR W/REVISIONS,9/5/1990,Approved,,Approved
1990.548V,414 Webster St,Variance (VAR),2/15/1991,DCP:  APPR W/C,2/15/1991,Approved,,Approved
1990.549V,211 2nd Ave,Variance (VAR),2/20/1991,DCP:  APPR,2/20/1991,Approved,,Approved
1990.551D,373 Franconia St,Discretionary Review - Mandatory (DRM),4/25/1991,CPC:  APPR W/C:  13065,4/25/1991,Approved,13065,Approved
1990.552D,369 Franconia St,Discretionary Review - Mandatory (DRM),4/25/1991,CPC:  APPR W/C:  13066,4/25/1991,Approved,13066,Approved
1990.553D,365 Franconia St,Discretionary Review - Mandatory (DRM),4/25/1991,CPC:  APPR W/C:  13067,4/25/1991,Approved,13067,Approved
1990.557P,871 46th Ave,Costal Zone Permit (CTZ),10/25/1990,CPC:  APPR W/C:  12057,10/25/1990,Approved,12057,Approved
1990.558A,712-14 Montgomery St,Certificate of Appropriateness (COA),9/19/1990,CPC:  APPR,9/19/1990,Approved,,Approved
